Subject,Group,Category,Type,Metric,Value
sub-072,nonOTC,Word,Asymmetric,Spatial_Drift,8.734488161114996
sub-072,nonOTC,Object,Bilateral,Spatial_Drift,0.8898503357597176
sub-072,nonOTC,House,Bilateral,Spatial_Drift,3.607404030558617
sub-072,nonOTC,Face,Asymmetric,RDM_Stability,0.23886473319109924
sub-072,nonOTC,Word,Asymmetric,RDM_Stability,0.7307242365639782
sub-072,nonOTC,Object,Bilateral,RDM_Stability,0.5164149841455448
sub-072,nonOTC,House,Bilateral,RDM_Stability,0.9768609525796312
sub-073,nonOTC,Face,Asymmetric,Hybrid_Stability,0.8010513378567284
sub-073,nonOTC,Word,Asymmetric,Hybrid_Stability,0.9435813324104566
sub-073,nonOTC,Object,Bilateral,Hybrid_Stability,0.9346128020803869
sub-073,nonOTC,House,Bilateral,Hybrid_Stability,0.6928545931551284
sub-073,nonOTC,Face,Asymmetric,Spatial_Drift,3.2585493518334983
sub-073,nonOTC,Word,Asymmetric,Spatial_Drift,8.752665691138315
sub-073,nonOTC,Object,Bilateral,Spatial_Drift,0.3675966890472389
sub-073,nonOTC,House,Bilateral,Spatial_Drift,7.404501466773791
sub-073,nonOTC,Face,Asymmetric,RDM_Stability,0.7104635879363718
sub-073,nonOTC,Word,Asymmetric,RDM_Stability,0.38560485909994763
sub-073,nonOTC,Object,Bilateral,RDM_Stability,0.954259420750779
sub-073,nonOTC,House,Bilateral,RDM_Stability,0.6041051938390313
sub-081,nonOTC,Face,Asymmetric,Hybrid_Stability,0.7818690597356693
sub-081,nonOTC,Word,Asymmetric,Hybrid_Stability,0.360744010213452
sub-081,nonOTC,Object,Bilateral,Hybrid_Stability,0.8185679045378903
sub-081,nonOTC,House,Bilateral,Hybrid_Stability,0.6980606667368242
sub-081,nonOTC,Face,Asymmetric,Spatial_Drift,1.5289608439334927
sub-081,nonOTC,Word,Asymmetric,Spatial_Drift,23.545194671361394
sub-081,nonOTC,Object,Bilateral,Spatial_Drift,2.967966129087633
sub-081,nonOTC,House,Bilateral,Spatial_Drift,5.41712853636528
sub-081,nonOTC,Face,Asymmetric,RDM_Stability,0.19195469369883408
sub-081,nonOTC,Word,Asymmetric,RDM_Stability,-0.7628777351993811
sub-081,nonOTC,Object,Bilateral,RDM_Stability,0.4928520218283123
sub-081,nonOTC,House,Bilateral,RDM_Stability,0.9096866721204451
sub-086,nonOTC,Face,Asymmetric,Hybrid_Stability,0.9238984436625604
sub-086,nonOTC,Word,Asymmetric,Hybrid_Stability,0.9254324196806927
sub-086,nonOTC,Object,Bilateral,Hybrid_Stability,0.7403563170137455
sub-086,nonOTC,House,Bilateral,Hybrid_Stability,0.7548253088590826
sub-086,nonOTC,Face,Asymmetric,Spatial_Drift,0.5340521365196477
sub-086,nonOTC,Word,Asymmetric,Spatial_Drift,8.946533019963386
sub-086,nonOTC,Object,Bilateral,Spatial_Drift,3.953372815731734
sub-086,nonOTC,House,Bilateral,Spatial_Drift,1.4591140991094207
sub-086,nonOTC,Face,Asymmetric,RDM_Stability,0.8596643975325859
sub-086,nonOTC,Word,Asymmetric,RDM_Stability,0.47248283144166614
sub-086,nonOTC,Object,Bilateral,RDM_Stability,0.11029093488643127
sub-086,nonOTC,House,Bilateral,RDM_Stability,0.8692114433987713
sub-018,control,Face,Asymmetric,Hybrid_Stability,0.6824688534356819
sub-018,control,Word,Asymmetric,Hybrid_Stability,0.35954536428138845
sub-018,control,Object,Bilateral,Hybrid_Stability,0.6383470807784841
sub-018,control,House,Bilateral,Hybrid_Stability,0.6192242589503801
sub-018,control,Face,Asymmetric,Hybrid_Stability,0.6535768149620115
sub-018,control,Object,Bilateral,Hybrid_Stability,0.582216638065714
