subject,code,group,hemi,category,geometry_preservation
sub-052,control052,control,l,house,-0.7700665041386159
sub-052,control052,control,r,face,0.535268383349779
sub-052,control052,control,r,word,0.33585761126626057
sub-052,control052,control,r,object,-0.7103807873645568
sub-052,control052,control,r,house,0.9344488618655897
sub-058,control058,control,l,face,-0.07118798199566327
sub-058,control058,control,l,word,-0.1543919841549005
sub-058,control058,control,l,object,0.39016714551024284
sub-058,control058,control,l,house,0.7809999279468083
sub-058,control058,control,r,face,0.7367314965389915
sub-058,control058,control,r,word,0.20827732633304982
sub-058,control058,control,r,object,0.9357219928694971
sub-058,control058,control,r,house,0.6807958224374747
sub-062,control062,control,l,face,0.9398839724475017
sub-062,control062,control,l,word,0.7523469134359764
sub-062,control062,control,l,object,0.8791816421538319
sub-062,control062,control,l,house,0.934807783683306
sub-062,control062,control,r,face,0.9916008374148733
sub-062,control062,control,r,word,-0.040884524837144554
sub-062,control062,control,r,object,0.8772440902776701
sub-062,control062,control,r,house,0.926400487021867
sub-064,control064,control,l,face,0.8829605946307229
sub-064,control064,control,l,word,0.8624966219931205
sub-064,control064,control,l,object,0.028513299219201815
sub-064,control064,control,l,house,0.7465698261117001
sub-064,control064,control,r,face,0.9751401810037028
sub-064,control064,control,r,word,0.9608781016302754
sub-064,control064,control,r,object,0.38622161495808804
sub-064,control064,control,r,house,0.4075113457043948
sub-079,OTC079,OTC,r,face,0.7014557469093208
sub-079,OTC079,OTC,r,word,0.15247389700431346
sub-079,OTC079,OTC,r,object,0.6888341580612991
sub-079,OTC079,OTC,r,house,0.6237263502467758
sub-068,control068,control,l,face,0.972276095258009
sub-068,control068,control,l,word,-0.06370786554590709
sub-068,control068,control,l,object,0.4820466469316768
sub-068,control068,control,l,house,0.04336566051757035
sub-068,control068,control,r,face,0.8745128967835142
sub-068,control068,control,r,word,-0.48828363018049087
sub-068,control068,control,r,object,0.8991961992438172
sub-068,control068,control,r,house,0.7970882271409303
