subject,code,group,hemi,roi_category,measured_category,category_type,mds_shift
sub-070,nonOTC070,nonOTC,r,house,face,Unilateral,0.1570106179197627
sub-070,nonOTC070,nonOTC,r,house,word,Unilateral,0.18517670909281728
sub-070,nonOTC070,nonOTC,r,house,object,Bilateral,0.18585908998898978
sub-070,nonOTC070,nonOTC,r,house,house,Bilateral,0.15062538184881147
sub-072,nonOTC072,nonOTC,l,face,face,Unilateral,0.15886706996885636
sub-072,nonOTC072,nonOTC,l,face,word,Unilateral,0.16609475081270125
sub-072,nonOTC072,nonOTC,l,face,object,Bilateral,0.37439758555790614
sub-072,nonOTC072,nonOTC,l,face,house,Bilateral,0.29774999208676056
sub-072,nonOTC072,nonOTC,l,word,face,Unilateral,0.19803636488485155
sub-072,nonOTC072,nonOTC,l,word,word,Unilateral,0.10775658165320365
sub-072,nonOTC072,nonOTC,l,word,object,Bilateral,0.14986374405888744
sub-072,nonOTC072,nonOTC,l,word,house,Bilateral,0.3835212644216544
sub-072,nonOTC072,nonOTC,l,object,face,Unilateral,0.0893577140106413
sub-072,nonOTC072,nonOTC,l,object,word,Unilateral,0.35536907159408176
sub-072,nonOTC072,nonOTC,l,object,object,Bilateral,0.2192074628423021
sub-072,nonOTC072,nonOTC,l,object,house,Bilateral,0.13265979723777543
sub-072,nonOTC072,nonOTC,l,house,face,Unilateral,0.05297824836186974
sub-072,nonOTC072,nonOTC,l,house,word,Unilateral,0.1116495980672037
sub-072,nonOTC072,nonOTC,l,house,object,Bilateral,0.13835061223402872
sub-072,nonOTC072,nonOTC,l,house,house,Bilateral,0.1418331835406503
sub-073,nonOTC073,nonOTC,l,face,face,Unilateral,0.2127693384772314
sub-073,nonOTC073,nonOTC,l,face,word,Unilateral,0.48762208653747097
sub-073,nonOTC073,nonOTC,l,face,object,Bilateral,0.4748597394562682
sub-073,nonOTC073,nonOTC,l,face,house,Bilateral,0.27224385356712943
sub-073,nonOTC073,nonOTC,l,word,face,Unilateral,0.29160054550074704
sub-073,nonOTC073,nonOTC,l,word,word,Unilateral,0.3390067672212095
sub-073,nonOTC073,nonOTC,l,word,object,Bilateral,0.14114531097669028
sub-073,nonOTC073,nonOTC,l,word,house,Bilateral,0.14304891665682123
sub-073,nonOTC073,nonOTC,l,object,face,Unilateral,0.14432277996902249
sub-073,nonOTC073,nonOTC,l,object,word,Unilateral,0.16104203062895972
sub-073,nonOTC073,nonOTC,l,object,object,Bilateral,0.10015120495037218
sub-073,nonOTC073,nonOTC,l,object,house,Bilateral,0.264133446874052
sub-073,nonOTC073,nonOTC,l,house,face,Unilateral,0.2989995204452595
sub-073,nonOTC073,nonOTC,l,house,word,Unilateral,0.010132108800917384
sub-073,nonOTC073,nonOTC,l,house,object,Bilateral,0.04886440814733874
sub-073,nonOTC073,nonOTC,l,house,house,Bilateral,0.3225213006411965
sub-081,nonOTC081,nonOTC,r,face,face,Unilateral,0.13301866284693584
sub-081,nonOTC081,nonOTC,r,face,word,Unilateral,0.17055164721227467
sub-081,nonOTC081,nonOTC,r,face,object,Bilateral,0.13995605448314707
sub-081,nonOTC081,nonOTC,r,face,house,Bilateral,0.17717888164938694
sub-081,nonOTC081,nonOTC,r,word,face,Unilateral,0.33565845857584636
sub-081,nonOTC081,nonOTC,r,word,word,Unilateral,0.12293828968765524
sub-081,nonOTC081,nonOTC,r,word,object,Bilateral,0.4068541570118604
sub-081,nonOTC081,nonOTC,r,word,house,Bilateral,0.17593826640135984
sub-081,nonOTC081,nonOTC,r,object,face,Unilateral,0.46052712217115577
sub-081,nonOTC081,nonOTC,r,object,word,Unilateral,0.4156592826992445
sub-081,nonOTC081,nonOTC,r,object,object,Bilateral,0.503855568070216
sub-081,nonOTC081,nonOTC,r,object,house,Bilateral,0.29022646250986994
sub-081,nonOTC081,nonOTC,r,house,face,Unilateral,0.5764692093792753
sub-081,nonOTC081,nonOTC,r,house,word,Unilateral,0.5855994175374626
sub-081,nonOTC081,nonOTC,r,house,object,Bilateral,0.5540570160551833
sub-081,nonOTC081,nonOTC,r,house,house,Bilateral,0.11019766609773993
sub-086,nonOTC086,nonOTC,l,face,face,Unilateral,0.22400498714997288
sub-086,nonOTC086,nonOTC,l,face,word,Unilateral,0.09632007809582695
sub-086,nonOTC086,nonOTC,l,face,object,Bilateral,0.11866437833327123
sub-086,nonOTC086,nonOTC,l,face,house,Bilateral,0.21603547633839654
