subject,group,roi,hemi,category,session,distinctiveness
sub-081,nonOTC,r_face,r,face,01,-0.15593608745699863
sub-081,nonOTC,r_face,r,face,02,0.07134079272748045
sub-081,nonOTC,r_word,r,word,01,-0.18107750449065874
sub-081,nonOTC,r_word,r,word,02,-0.09507214302306376
sub-081,nonOTC,r_object,r,object,01,-0.20115844594117435
sub-081,nonOTC,r_object,r,object,02,-0.41297296816990103
sub-081,nonOTC,r_house,r,house,01,0.19370539152296665
sub-081,nonOTC,r_house,r,house,02,0.11631828340667356
sub-086,nonOTC,l_face,l,face,01,-0.045628945500201024
sub-086,nonOTC,l_face,l,face,02,-0.45873322817130435
sub-086,nonOTC,l_word,l,word,01,-0.07577381482263236
sub-086,nonOTC,l_word,l,word,02,-0.286258582581133
sub-086,nonOTC,l_object,l,object,01,0.50399389885707
sub-086,nonOTC,l_object,l,object,02,0.3233623924123992
sub-086,nonOTC,l_house,l,house,01,0.2775999222691528
sub-086,nonOTC,l_house,l,house,02,0.1570405522265237
sub-022,control,l_face,l,face,01,-0.3034992895992966
sub-022,control,l_face,l,face,02,0.21553312736274644
sub-022,control,l_word,l,word,01,0.2486613339428688
sub-022,control,l_word,l,word,02,-0.0439850497256857
sub-022,control,l_object,l,object,01,-0.037158488517743164
sub-022,control,l_object,l,object,02,0.13479016825883552
sub-022,control,l_house,l,house,01,0.4253161836869886
sub-022,control,l_house,l,house,02,0.3244566935237831
sub-022,control,r_face,r,face,01,0.45838547935971347
sub-022,control,r_face,r,face,02,0.4415151706992877
sub-022,control,r_word,r,word,01,0.3974898025096593
sub-022,control,r_word,r,word,02,0.7368286622565595
sub-022,control,r_object,r,object,01,-0.1875804189633977
sub-022,control,r_object,r,object,02,0.47906626609090847
sub-022,control,r_house,r,house,01,0.47256647961526044
sub-022,control,r_house,r,house,02,0.5641778768302586
sub-025,control,l_face,l,face,01,0.19113859404047417
sub-025,control,l_face,l,face,02,-0.31892064301074124
sub-025,control,l_word,l,word,01,-0.26802487921043955
sub-025,control,l_word,l,word,02,-0.15056416446171858
sub-025,control,l_object,l,object,01,0.7192994208307867
sub-025,control,l_object,l,object,02,0.5281914327358488
sub-025,control,l_house,l,house,01,0.04725477109885595
sub-025,control,l_house,l,house,02,0.5188137913417648
sub-025,control,r_face,r,face,01,0.36330686898870307
sub-025,control,r_face,r,face,02,-0.05856122322796805
sub-025,control,r_word,r,word,01,-0.15096746611887157
sub-025,control,r_word,r,word,02,0.2219049061708999
sub-025,control,r_object,r,object,01,0.669773153374504
sub-025,control,r_object,r,object,02,0.5043526907135765
sub-025,control,r_house,r,house,01,0.30948602175925477
sub-025,control,r_house,r,house,02,0.5286474959735873
sub-027,control,l_face,l,face,01,0.16647390599690207
sub-027,control,l_face,l,face,02,0.18156544730157967
sub-027,control,l_word,l,word,01,-0.4184402253454526
sub-027,control,l_word,l,word,02,0.098099910261685
sub-027,control,l_object,l,object,01,0.005291448279318813
sub-027,control,l_object,l,object,02,0.18622901769936132
sub-027,control,l_house,l,house,01,0.2761203777508452
sub-027,control,l_house,l,house,02,-0.20485520724148845
